תאריך איפוס,גיליון,מספר פריט,שם,מידה,תאריך דרופ,מחיר
2026-08-01,רשימת_מכנסיים.xlsx,4,Hurley,31,=$K$2,240
2026-08-01,רשימת_מכנסיים.xlsx,14,Billabong,32,=$K$2,260
2026-08-01,רשימת_מכנסיים.xlsx,17,Billabong,30,=$K$2,250
2026-08-01,רשימת_מכנסיים.xlsx,18,Quiksilver,32,=$K$2,270
2026-08-01,רשימת_מכנסיים.xlsx,26,Quiksilver,33,=$K$2,250
2026-08-01,רשימה 2.xlsx,39,billabong,32,2026-07-14,250
2026-08-01,רשימה 2.xlsx,41,billabong,36,2026-07-14,230
2026-08-01,רשימה 2.xlsx,42,billabong,31,2026-07-14,260
2026-08-01,רשימה 2.xlsx,44,oniell,36,2026-07-14,260
2026-08-01,רשימה 2.xlsx,45,blue,29,2026-07-16,230
2026-08-01,רשימה 2.xlsx,65,billabong,29,2026-07-16,230
2026-08-01,רשימה 2.xlsx,67,billabong,36,2026-07-22,270
2026-08-01,רשימה 2.xlsx,68,billabong,38,2026-07-22,290
2026-08-01,רשימה 2.xlsx,69,QuickSilver,34,2026-07-22,290
2026-08-01,רשימה 2.xlsx,73,GIRLS,26,2026-07-22,240
2026-08-01,רשימה 2.xlsx,75,billabong,34,2026-07-22,270
2026-08-15,3,boardies,O'Neill,36,250,2026-08-09
2026-08-15,25,boardies,Billabong,32,250,2026-08-06
2026-08-15,100,boardies,Oniell,29,280,2026-08-09
2026-08-15,113,women,billabong,ONE SIZE,250,2026-08-06
2026-08-15,16,boardies,Fighters,29,230,2026-08-09
2026-08-15,93,boardies,QuickSilver,32,300,2026-08-06
2026-08-15,11,boardies,Ripline,32,270,2026-08-06
2026-08-15,33,shirts,PICKO,s,180,2026-08-09
2026-08-15,71,boardies,billabong,32,270,2026-08-06
2026-08-15,47,boardies,flowers,36,200,2026-08-06
2026-08-15,27,boardies,O'Neill,32,260,2026-08-06
2026-08-15,84,shirts,PICKO,XL,200,2026-08-09
2026-08-15,126,boardies,Billabong,30,300,2026-08-13
2026-08-15,127,boardies,Billabong X Andy Irons,32,300,2026-08-09
2026-08-15,125,boardies,Billabong,36,300,2026-08-11
2026-08-15,132,boardies,Billabong X Andy Irons,28,300,2026-08-09
2026-08-15,134,boardies,Billabong,34,300,2026-08-11
2026-08-15,123,boardies,Billabong,36,300,2026-08-09
2026-08-15,121,boardies,Billabong,32,300,2026-08-09
